id,title,author,alternate_titles,author_aliases,edition,contained_titles,source_images
B001,Harry Potter and the Philosopher's Stone,J. K. Rowling,Harry Potter and the Sorcerer's Stone,Joanne Rowling|J.K. Rowling|Rowling J. K.,UK edition,,word-order-bookshelf.webp
B002,Harry Potter and the Sorcerer's Stone,J. K. Rowling,Harry Potter and the Philosopher's Stone,Joanne Rowling|J.K. Rowling|Rowling J. K.,US edition,,
B003,Harry Potter and the Chamber of Secrets,J. K. Rowling,,Joanne Rowling|J.K. Rowling|Rowling J. K.,Standard edition,,
B004,Harry Potter and the Prisoner of Azkaban,J. K. Rowling,,Joanne Rowling|J.K. Rowling|Rowling J. K.,Standard edition,,
B005,Harry Potter and the Goblet of Fire,J. K. Rowling,,Joanne Rowling|J.K. Rowling|Rowling J. K.,Standard edition,,
B006,Harry Potter and the Order of the Phoenix,J. K. Rowling,,Joanne Rowling|J.K. Rowling|Rowling J. K.,Standard edition,,
B007,Harry Potter and the Half-Blood Prince,J. K. Rowling,,Joanne Rowling|J.K. Rowling|Rowling J. K.,Standard edition,,
B008,Harry Potter and the Deathly Hallows,J. K. Rowling,,Joanne Rowling|J.K. Rowling|Rowling J. K.,Standard edition,,
B009,The Hobbit,J. R. R. Tolkien,There and Back Again,J.R.R. Tolkien|John Ronald Reuel Tolkien|Tolkien J. R. R.,75th Anniversary edition,,
B010,The Hobbit,J. R. R. Tolkien,There and Back Again,J.R.R. Tolkien|John Ronald Reuel Tolkien|Tolkien J. R. R.,Illustrated edition,,
B011,The Lord of the Rings,J. R. R. Tolkien,LOTR,J.R.R. Tolkien|John Ronald Reuel Tolkien|Tolkien J. R. R.,One-volume omnibus,The Fellowship of the Ring|The Two Towers|The Return of the King,
B012,The Fellowship of the Ring,J. R. R. Tolkien,The Lord of the Rings Part One,J.R.R. Tolkien|John Ronald Reuel Tolkien|Tolkien J. R. R.,Individual volume,,
B013,The Two Towers,J. R. R. Tolkien,The Lord of the Rings Part Two,J.R.R. Tolkien|John Ronald Reuel Tolkien|Tolkien J. R. R.,Individual volume,,
B014,The Return of the King,J. R. R. Tolkien,The Lord of the Rings Part Three,J.R.R. Tolkien|John Ronald Reuel Tolkien|Tolkien J. R. R.,Individual volume,,
B015,The Silmarillion,J. R. R. Tolkien,,J.R.R. Tolkien|John Ronald Reuel Tolkien|Tolkien J. R. R.,Standard edition,,
B016,The Chronicles of Narnia,C. S. Lewis,Narnia Chronicles,C.S. Lewis|Clive Staples Lewis|Lewis C. S.,Seven-volume omnibus,The Lion the Witch and the Wardrobe|Prince Caspian|The Voyage of the Dawn Treader|The Silver Chair|The Horse and His Boy|The Magician's Nephew|The Last Battle,
B017,The Lion the Witch and the Wardrobe,C. S. Lewis,,C.S. Lewis|Clive Staples Lewis|Lewis C. S.,Individual volume,,
B018,Prince Caspian,C. S. Lewis,,C.S. Lewis|Clive Staples Lewis|Lewis C. S.,Individual volume,,
B019,The Voyage of the Dawn Treader,C. S. Lewis,,C.S. Lewis|Clive Staples Lewis|Lewis C. S.,Individual volume,,
B020,The Magician's Nephew,C. S. Lewis,,C.S. Lewis|Clive Staples Lewis|Lewis C. S.,Individual volume,,
B021,A Game of Thrones,George R. R. Martin,Game of Thrones,George R.R. Martin|George Raymond Richard Martin|Martin George R. R.,Standard edition,,
B026,The Name of the Wind,Patrick Rothfuss,The Kingkiller Chronicle Day One,Rothfuss Patrick,Standard edition,,
B028,The Way of Kings,Brandon Sanderson,The Stormlight Archive Book One,Sanderson Brandon,Standard edition,,
B034,American Gods,Neil Gaiman,,Gaiman Neil,Standard edition,,
B038,The Fifth Season,N. K. Jemisin,NK Jemisin The Fifth Season,N.K. Jemisin|Nora K. Jemisin|Jemisin N. K.,Standard edition,,
B040,Fourth Wing,Rebecca Yarros,,Yarros Rebecca,Standard edition,,
B041,Pride and Prejudice,Jane Austen,Pride & Prejudice,Austen Jane,Standard edition,,
B044,Jane Eyre,Charlotte Brontë,,Charlotte Bronte|Brontë Charlotte|Bronte Charlotte,Standard edition,,
